sale_id,product_id,customer_id,qty,Price,Total_amt,sale_date
50001,1000,100,1,1599,1599,2025-12-07
50002,1005,101,2,1299,2598,2025-12-07
50003,1010,102,1,110,110,2025-12-07
50004,1015,103,1,169,169,2025-12-07
50005,1019,104,3,399,1197,2025-12-07
50006,1002,105,1,348,348,2025-12-07
50007,1008,106,4,45,180,2025-12-07
50008,1012,107,1,171,171,2025-12-07
50009,1001,108,2,1250,2500,2025-12-07
50010,1004,109,5,99,495,2025-12-07
50011,1003,100,1,749,749,2025-12-07
50012,1018,101,2,349,698,2025-12-07
50013,1011,102,1,190,190,2025-12-07
50014,1014,103,1,149,149,2025-12-07
50015,1006,104,2,539,1078,2025-12-07
50016,1007,105,3,199,597,2025-12-07
50017,1009,106,2,79,158,2025-12-07
50018,1013,107,1,320,320,2025-12-07
50019,1016,108,1,139,139,2025-12-07
50020,1017,109,2,599,1198,2025-12-07
50021,1000,101,1,1599,1599,2025-12-07
50022,1005,102,1,1299,1299,2025-12-07
50023,1010,103,2,110,220,2025-12-07
50024,1015,104,1,169,169,2025-12-07
50025,1019,105,1,399,399,2025-12-07
50026,1002,106,2,348,696,2025-12-07
50027,1008,107,3,45,135,2025-12-07
50028,1012,108,1,171,171,2025-12-07
50029,1001,109,1,1250,1250,2025-12-07
50030,1004,100,2,99,198,2025-12-07
50031,1003,101,1,749,749,2025-12-07
50032,1018,102,1,349,349,2025-12-07
50033,1011,103,3,190,570,2025-12-07
50034,1014,104,1,149,149,2025-12-07
50035,1006,105,1,539,539,2025-12-07
50036,1007,106,2,199,398,2025-12-07
50037,1009,107,1,79,79,2025-12-07
50038,1013,108,1,320,320,2025-12-07
50039,1016,109,4,139,556,2025-12-07
50040,1017,100,1,599,599,2025-12-07
50041,1000,102,1,1599,1599,2025-12-07
50042,1005,103,1,1299,1299,2025-12-07
50043,1010,104,2,110,220,2025-12-07
50044,1015,105,1,169,169,2025-12-07
50045,1019,106,1,399,399,2025-12-07
50046,1002,107,2,348,696,2025-12-07
50047,1008,108,1,45,45,2025-12-07
50048,1012,109,1,171,171,2025-12-07
50049,1001,100,3,1250,3750,2025-12-07
50050,1004,101,1,99,99,2025-12-07
50051,1003,102,1,749,749,2025-12-07
50052,1018,103,2,349,698,2025-12-07
50053,1011,104,1,190,190,2025-12-07
50054,1014,105,1,149,149,2025-12-07
50055,1006,106,2,539,1078,2025-12-07
50056,1007,107,1,199,199,2025-12-07
50057,1009,108,5,79,395,2025-12-07
50058,1013,109,1,320,320,2025-12-07
50059,1016,100,2,139,278,2025-12-07
50060,1017,101,1,599,599,2025-12-07
50061,1000,103,1,1599,1599,2025-12-07
50062,1005,104,1,1299,1299,2025-12-07
50063,1010,105,3,110,330,2025-12-07
50064,1015,106,1,169,169,2025-12-07
50065,1019,107,1,399,399,2025-12-07
50066,1002,108,2,348,696,2025-12-07
50067,1008,109,1,45,45,2025-12-07
50068,1012,100,1,171,171,2025-12-07
50069,1001,101,2,1250,2500,2025-12-07
50070,1004,102,1,99,99,2025-12-07
50071,1003,103,4,749,2996,2025-12-07
50072,1018,104,1,349,349,2025-12-07
50073,1011,105,1,190,190,2025-12-07
50074,1014,106,2,149,298,2025-12-07
50075,1006,107,1,539,539,2025-12-07
50076,1007,108,1,199,199,2025-12-07
50077,1009,109,3,79,237,2025-12-07
50078,1013,100,1,320,320,2025-12-07
50079,1016,101,1,139,139,2025-12-07
50080,1017,102,2,599,1198,2025-12-07
50081,1000,104,1,1599,1599,2025-12-07
50082,1005,105,1,1299,1299,2025-12-07
50083,1010,106,1,110,110,2025-12-07
50084,1015,107,2,169,338,2025-12-07
50085,1019,108,1,399,399,2025-12-07
50086,1002,109,1,348,348,2025-12-07
50087,1008,100,4,45,180,2025-12-07
50088,1012,101,1,171,171,2025-12-07
50089,1001,102,1,1250,1250,2025-12-07
50090,1004,103,2,99,198,2025-12-07
50091,1003,104,1,749,749,2025-12-07
50092,1018,105,1,349,349,2025-12-07
50093,1011,106,3,190,570,2025-12-07
50094,1014,107,1,149,149,2025-12-07
50095,1006,108,1,539,539,2025-12-07
50096,1007,109,2,199,398,2025-12-07
50097,1009,100,1,79,79,2025-12-07
50098,1013,101,1,320,320,2025-12-07
50099,1016,102,5,139,695,2025-12-07
50100,1017,103,1,599,599,2025-12-07
